No.,Estado,Clave.GASIR,SMN.No,GASIR.No,Nombre_estación, Longitud(Grados_decimales) , Latitud(Grados_decimales) ,Longitud ,Latitud ,Superficie(ha) ,Cultivo,Riesgo,Trigger.1,Inicio,Final,Trigger.2A,Trigger.2B,Inicio,Final,Trigger.3A,Trigger.3B,Inicio,Final,Cuota_(%)_2016,Suma_Asegurada($/ha),SumaAsegurada_TOTAL($),PrimaTotal_($),Foli,edo2,clave,cultivo,Acumulado
59,Michoacán,VJIMC,16225,41617,Villa Jiménez,-101.747222,19.920278,-1014450,195513,9419.39,Maíz,S-EH,57,20/05/2016,30/06/2016,129,570,01/07/2016,14/08/2016,111,628,15/08/2016,13/10/2016,16.50%,1500,14129085,2331299.03,1,Michoacán,41617,Maíz,9419.39
60,Michoacán,ZCAMC,16142,41619,Zacapu,-101.792222,19.8125,-1014732,194845,2776.18,Maíz,S-EH,50,20/05/2016,30/06/2016,130,558,01/07/2016,14/08/2016,111,592,15/08/2016,13/10/2016,16.50%,1500,4164270,687104.55,1,Michoacán,41619,Maíz,2776.18
61,Michoacán,JARMC,16095,41621,Jaripo,-102.601111,19.959444,-1023604,195734,9508.88,Maíz,S-EH,44,20/05/2016,30/06/2016,93,568,01/07/2016,14/08/2016,92,501,15/08/2016,13/10/2016,16.50%,1500,14263320,2353447.8,1,Michoacán,41621,Maíz,9508.88
62,Michoacán,SAHMC,16174,41623,Sahuayo,-102.711111,20.081667,-1024240,200454,4275.08,Maíz,S-EH,50,20/05/2016,30/06/2016,104,498,01/07/2016,14/08/2016,86,537,15/08/2016,13/10/2016,16.50%,1500,6412620,1058082.3,1,Michoacán,41623,Maíz,4275.08
63,Michoacán,CUUMC,16030,41626,Cumuato,-102.586944,20.253611,-1023513,201513,8196.78,Maíz,S-EH,45,20/05/2016,30/06/2016,83,546,01/07/2016,14/08/2016,95,506,15/08/2016,13/10/2016,16.50%,1500,12295170,2028703.05,1,Michoacán,41626,Maíz,8196.78
64,Michoacán,UREMC,16137,41628,Urepetiro,-102.135556,19.96,-1020808,195736,4851.23,Maíz,S-EH,54,20/05/2016,30/06/2016,144,528,01/07/2016,14/08/2016,127,602,15/08/2016,13/10/2016,16.50%,1500,7276845,1200679.43,1,Michoacán,41628,Maíz,4851.23
65,Michoacán,CHAMC,16031,41629,Chaparaco,-102.265278,19.973611,-1021555,195825,3930.61,Maíz,S-EH,45,20/05/2016,30/06/2016,124,531,01/07/2016,14/08/2016,125,478,15/08/2016,13/10/2016,16.50%,1500,5895915,972825.98,1,Michoacán,41629,Maíz,3930.61
66,Michoacán,ZAMMC,16048,41630,Zamora,-102.28,19.973333,-1021648,195824,5041,Maíz,S-EH,50,20/05/2016,30/06/2016,122,475,01/07/2016,14/08/2016,115,519,15/08/2016,13/10/2016,16.50%,1500,7561500,1247647.5,1,Michoacán,41630,Maíz,5041
67,Michoacán,ORAMC,16162,41631,Orandino,-102.327222,19.956944,-1021938,195725,5361,Maíz,S-EH,54,20/05/2016,30/06/2016,132,554,01/07/2016,14/08/2016,108,599,15/08/2016,13/10/2016,16.50%,1500,8041500,1326847.5,1,Michoacán,41631,Maíz,5361
68,Michoacán,CORMC,16024,41636,Corrales,-101.859444,20.214167,-1015134,201251,4664,Maíz,S-EH,43,20/05/2016,30/06/2016,93,464,01/07/2016,14/08/2016,111,526,15/08/2016,13/10/2016,16.50%,1500,6996000,1154340,1,Michoacán,41636,Maíz,4664
69,Michoacán,MOCMC,16159,41637,Melchor Ocampo,-101.724325,20.127337,-1014328,200738,5239,Maíz,S-EH,46,20/05/2016,30/06/2016,103,449,01/07/2016,14/08/2016,102,572,15/08/2016,13/10/2016,16.50%,1500,7858500,1296652.5,1,Michoacán,41637,Maíz,5239
70,Michoacán,ADUMC,16229,41638,Adjuntas,-102.204444,19.912222,-1021216,195444,3277.59,Maíz,S-EH,54,20/05/2016,30/06/2016,144,466,01/07/2016,14/08/2016,127,526,15/08/2016,13/10/2016,16.50%,1500,4916385,811203.53,1,Michoacán,41638,Maíz,3277.59
71,Michoacán,MNOMC,16114,41640,Morelia Norte,-101.182778,19.721667,-1011058,194318,7952,Maíz,S-EH,48,20/05/2016,30/06/2016,80,604,01/07/2016,14/08/2016,80,641,15/08/2016,13/10/2016,16.50%,1500,11928000,1968120,1,Michoacán,41640,Maíz,7952
72,Michoacán,MLPMC,16096,41641,Malpais,-100.8825,19.809167,-1005257,194833,4506,Maíz,S-EH,46,20/05/2016,30/06/2016,55,504,01/07/2016,14/08/2016,97,539,15/08/2016,13/10/2016,16.50%,1500,6759000,1115235,1,Michoacán,41641,Maíz,4506
73,Michoacán,MCEMC,16081,41642,Morelia Centro,-101.150556,19.694444,-1010902,194140,6637.24,Maíz,S-EH,54,20/05/2016,30/06/2016,101,469,01/07/2016,14/08/2016,79,492,15/08/2016,13/10/2016,16.50%,1500,9955860,1642716.9,1,Michoacán,41642,Maíz,6637.24
74,Michoacán,EGIMC,16040,41647,El Gigante,-100.451111,19.971667,-1002704,195818,5000,Maíz,S-EH,50,20/05/2016,30/06/2016,130,466,01/07/2016,14/08/2016,94,522,15/08/2016,13/10/2016,16.50%,1500,7500000,1237500,1,Michoacán,41647,Maíz,5000
75,Michoacán,PUCMC,16097,41653,Pucuato,-100.685278,19.6225,-1004107,193721,987,Maíz,S-EH,57,20/05/2016,30/06/2016,130,779,01/07/2016,14/08/2016,111,714,15/08/2016,13/10/2016,16.50%,1500,1480500,244282.5,1,Michoacán,41653,Maíz,987
76,Michoacán,AGOMC,16002,41655,Agostitlán,-100.606944,19.578889,-1003625,193444,3000,Maíz,S-EH,57,20/05/2016,30/06/2016,144,779,01/07/2016,14/08/2016,127,588,15/08/2016,13/10/2016,16.50%,1500,4500000,742500,1,Michoacán,41655,Maíz,3000
77,Michoacán,CMNMC,16059,41657,Caimanera,-100.865278,18.491111,-1005155,182928,2754,Maíz,S-EH,46,20/05/2016,30/06/2016,116,632,01/07/2016,14/08/2016,144,743,15/08/2016,13/10/2016,16.50%,1500,4131000,681615,1,Michoacán,41657,Maíz,2754
78,Michoacán,LPNMC,16074,41658,Los Panches,-102.003611,18.687222,-1020013,184114,223,Maíz,S-EH,32,20/05/2016,30/06/2016,90,468,01/07/2016,14/08/2016,112,550,15/08/2016,13/10/2016,16.50%,1500,334500,55192.5,1,Michoacán,41658,Maíz,223
79,Michoacán,LPZMC,16075,41660,Los Pinzanes,-101.165278,18.735278,-1010955,184407,6409,Maíz,S-EH,38,20/05/2016,30/06/2016,61,548,01/07/2016,14/08/2016,127,558,15/08/2016,13/10/2016,16.50%,1500,9613500,1586227.5,1,Michoacán,41660,Maíz,6409
80,Michoacán,INFMC,16046,41663,Infiernillo,-101.892778,18.273056,-1015334,181623,1593.05,Maíz,S-EH,30,20/05/2016,30/06/2016,36,438,01/07/2016,14/08/2016,44,608,15/08/2016,13/10/2016,16.50%,1500,2389575,394279.88,1,Michoacán,41663,Maíz,1593.05
81,Michoacán,CHIMC,16020,41669,Cd. Hidalgo,-100.556111,19.683889,-1003322,194102,3955,Maíz,S-EH,49,20/05/2016,30/06/2016,104,438,01/07/2016,14/08/2016,111,501,15/08/2016,13/10/2016,16.50%,1500,5932500,978862.5,1,Michoacán,41669,Maíz,3955
82,Michoacán,APAMC,16007,41672,Apatzingan,-102.371667,19.082778,-1022218,190458,1865,Maíz,S-EH,29,20/05/2016,30/06/2016,105,517,01/07/2016,14/08/2016,101,759,15/08/2016,13/10/2016,16.50%,1500,2797500,461587.5,1,Michoacán,41672,Maíz,1865
